EJECUTORA_NOMBRE,DEPARTAMENTO_EJECUTORA_NOMBRE,GRUPO_ENTIDAD_NOMBRE,MONTO_PIM,MONTO_DEVENGADO,Avance_Pct,Saldo_No_Devengado
FONDO METROPOLITANO DE INVERSIONES DE LIMA,LIMA,ORGANISMOS PUBLICOS DESCENTRALIZADOS MUNICIPALES,369873483,7822229.2,2.1148391435241116,362051253.8
SERVICIO DE ADMINISTRACIÓN TRIBUTARIA DE ICA,ICA,ORGANISMOS PUBLICOS DESCENTRALIZADOS MUNICIPALES,10096815,296766.88,2.9392128111686704,9800048.12
INSTITUTO CATASTRAL DE LIMA,LIMA,ORGANISMOS PUBLICOS DESCENTRALIZADOS MUNICIPALES,16084600,522932.64,3.2511386046280295,15561667.36
ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA,PIURA,ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES,10873028,436992.89,4.0190542137847896,10436035.11
SERVICIO DE ADMINISTRACIÓN TRIBUTARIA DE CHICLAYO - SATCH,LAMBAYEQUE,ORGANISMOS PUBLICOS DESCENTRALIZADOS MUNICIPALES,10282412,510971.84,4.969377223943177,9771440.16
COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA,TACNA,ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES,18866747,1094779.81,5.802695133400581,17771967.19
HOSPITAL MUNICIPAL DE OLIVOS,LIMA,ORGANISMOS PUBLICOS DESCENTRALIZADOS MUNICIPALES,30700000,1830172.9,5.961475244299674,28869827.1
SERVICIO DE ADMINISTRACION TRIBUTARIA DE TRUJILLO,LA LIBERTAD,ORGANISMOS PUBLICOS DESCENTRALIZADOS MUNICIPALES,14130434,865371.55,6.124168231492395,13265062.45
SERVICIO DE GESTIÓN AMBIENTAL DE TRUJILLO,LA LIBERTAD,ORGANISMOS PUBLICOS DESCENTRALIZADOS MUNICIPALES,53739284,3297041.1,6.135253123208713,50442242.9
SERVICIO DE ADMINISTRACION TRIBUTARIA DE LIMA,LIMA,ORGANISMOS PUBLICOS DESCENTRALIZADOS MUNICIPALES,119305123,7668147.58,6.427341414333062,111636975.42
ESTABLECIMIENTO DE SALUD MUNICIPAL - ESAMU,AREQUIPA,ORGANISMOS PUBLICOS DESCENTRALIZADOS MUNICIPALES,17298641,1148551.19,6.639545788596919,16150089.81
PATRONATO DEL PARQUE DE LAS LEYENDAS,LIMA,ORGANISMOS PUBLICOS DESCENTRALIZADOS MUNICIPALES,67059651,4457978.2299999995,6.647780242697654,62601672.77
INSTITUTO METROPOLITANO DE PLANIFICACION,LIMA,ORGANISMOS PUBLICOS DESCENTRALIZADOS MUNICIPALES,10165632,738767.85,7.267308613965172,9426864.15
SISTEMA METROPOLITANO DE LA SOLIDARIDAD - SISOL,LIMA,ORGANISMOS PUBLICOS DESCENTRALIZADOS MUNICIPALES,304474628,24631377.9,8.089796533062845,279843250.1
SERVICIO DE PARQUES DE LIMA,LIMA,ORGANISMOS PUBLICOS DESCENTRALIZADOS MUNICIPALES,70553444,6861106.01,9.724693255229326,63692337.99
