page_num,total_numbers_found,total_categories_found,sample_text
5,0,0,
6,3,4,Contraloría General de la República CUENTA GENERAL AÑO 1964 —PRORROGA DEL PRESUPUESTO DEL AÑO 1963 — LEY Nº 14780 —PRESUPUESTO DEL AÑO 1964 LEYES Nos. 14930 Y 14986
7,0,0,
8,2,20,CONTENIDO Página Oficio del Señor Ministro de Hacienda y Comercio a la Cámara de Diputados I Oficio del Señor Ministro de Hacienda y Comercio al Senado Ⅲ Informes del Señor Contralor General de la Rep
9,0,30,Página PLIEGO CAMARA DE SENADORES Balance de Egresos por Capítulos 55 Balance de Egresos a nivel de Partida Genérica 56 Explicación de los Gastos por Fuentes de Financiamiento 57 PLIEGO PRESIDENCIA DE
10,0,28,Página MINISTERIO DE HACIENDA Y COMERCIO Balance de Egresos por Capítulos 139 Balance de Egresos por Programas y Sub-Programas 140 Balance de Egresos a nivel de Partida Genérica 144 Explicación de los
11,2,28,"SEGUNDA PARTE PRESUPUESTO DEL AÑO 1964 LEYES Nos. 14930 Y 14986 Página BALANCE DEL EJERCICIO Balance del Ejercicio Presupuestal (Cuadro) Balance Comparativo del Ejercicio Presupuestal, más las ampliac"
12,0,27,Página PLIEGO 5'—JURADO NACIONAL DE ELECCIONES Balance de Desembolsos en el Ejercicio 369 Balance de Desembolsos por Unidades de Asignación 370 Balance de Desembolsos por Partida Genérica 371 Transfer
13,0,27,Página PLIEGO 16*—SALUD PUBLICA Y ASISTENCIA SOCIAL Balance de Desembolsos en el Ejercicio 643 Balance de Desembolsos por Unidades de Asignación 644 Balance de Desembolsos por Partida Genérica 646 Tra
14,0,3,"Lima, 27 de Agosto de 1965 Oficio N° 2073 Señores Diputados Secretarios de la Cámara de Diputados Ciudad. En cumplimiento de las disposiciones del Artículo 177° de la Constitución del Estado, tengo el"
15,0,0,
16,0,3,"Lima, 27 de Agosto de 1965 Oficio N°2074 Señores Senadores Secretarios del Senado Ciudad. En cumplimiento de las disposiciones del Artículo 177° de la Constitución del Estado, tengo el agrado de somet"
17,0,0,
18,12,15,INFORME N° 1601 ASUNTO: Cuentas Generales de la República de 1964. CONTRALORIA GENERAL DE LA REPUBLICA Señor: Con fecha 27 de Agosto de 1965 emití el informe Nº 2072 sobre las Cuentas Generales de la
19,31,14,"EN EL TITULO DE INGRESOS D) Omitido contabilizar el monto de préstamos opera- do directamente por la Dirección de Caminos sin in- greso, ni registro en el Tesoro Público S/. 151'949,744.45 E) Omitido"
